R	P	FP	R_stdev	P_stdev	FP_stdev	ClassifierOutput
0.430057142857143	0.996296296296296	0.00666666666666667	0.00319387168284825	0.00740740740741568	0.0133333333333333	20.4790813446045
0.438050793650794	0.996363636363636	0.00666666666666667	0.00319688056571212	0.00727272727271153	0.0133333333333333	20.4331443786621
0.446044444444444	0.996428571428572	0.00666666666666667	0.00319999999999744	0.00714285714283892	0.0133333333333333	20.3819097518921
0.454038095238095	0.996491228070175	0.00666666666666667	0.00320322966272245	0.00701754385965668	0.0133333333333333	20.3493238449097
0.462031746031746	0.996551724137931	0.00666666666666667	0.00320656922079259	0.00689655172415737	0.0133333333333333	20.2893138885498
0.470025396825397	0.996610169491525	0.00666666666666667	0.00321001833125892	0.00677966101698063	0.0133333333333333	20.1813369750977
0.478019047619048	0.996666666666667	0.00666666666666667	0.00321357664135514	0.00666666666664854	0.0133333333333333	20.1014047622681
0.486012698412698	0.99672131147541	0.00666666666666667	0.0032172437887737	0.00655737704917673	0.0133333333333333	20.0503868103027
0.494006349206349	0.996774193548387	0.00666666666666667	0.00322101940173768	0.00645161290323042	0.0133333333333333	19.9842975616455
0.502	0.996825396825397	0.00666666666666667	0.00322490309932448	0.00634920634920345	0.0133333333333333	19.9254776000977
0.509993650793651	0.996875	0.00666666666666667	0.00322889449148198	0.00625000000001137	0.0133333333333333	19.8332628250122
0.517987301587302	0.996923076923077	0.00666666666666667	0.00323299317939213	0.0061538461538576	0.0133333333333333	19.7826522827148
0.525980952380952	0.996969696969697	0.00666666666666667	0.00323719875543788	0.00606060606064505	0.0133333333333333	19.6859601974487
0.533974603174603	0.997014925373134	0.00666666666666667	0.00324151080368121	0.00597014925373659	0.0133333333333333	19.6300550460815
0.541968253968254	0.997058823529412	0.00666666666666667	0.00324592889967747	0.00588235294120577	0.0133333333333333	19.5751268386841
0.549961904761905	0.997101449275362	0.00666666666666667	0.00325045261107362	0.005797101449241	0.0133333333333333	19.4765766143799
0.557955555555556	0.997142857142857	0.00666666666666667	0.00325508149752955	0.0057142857142873	0.0133333333333333	19.3525400161743
0.565949206349206	0.997183098591549	0.00666666666666667	0.00325981511099087	0.00563380281690429	0.0133333333333333	19.270290184021
0.573942857142857	0.997222222222222	0.00666666666666667	0.00326465299591476	0.00555555555557375	0.0133333333333333	19.204313659668
0.581936507936508	0.997260273972603	0.00666666666666667	0.00326959468944267	0.00547945205476731	0.0133333333333333	19.1016355514526
0.589930158730159	0.997297297297297	0.00666666666666667	0.00327463972159458	0.00540540540542914	0.0133333333333333	18.963463973999
0.597123809523809	0.996	0.01	0.00363250630294894	0.00611010092664234	0.0152752523165195	18.8358680725098
0.60511746031746	0.996052631578947	0.01	0.0036358507162543	0.00602970486178819	0.0152752523165195	18.6947271347046
0.613111111111111	0.996103896103896	0.01	0.00363929175041488	0.00595139700645206	0.0152752523165195	18.6307703018188
0.621104761904762	0.996153846153846	0.01	0.00364282913154584	0.0058750970448143	0.0152752523165195	18.5702751159668
0.629098412698413	0.99620253164557	0.01	0.00364646257933192	0.00580072872779929	0.0152752523165195	18.4778266906738
0.637092063492063	0.99625	0.01	0.00365019180687083	0.00572821961867359	0.0152752523165195	18.4216957092285
0.645085714285714	0.996296296296296	0.01	0.0036540165208604	0.00565750085796079	0.0152752523165195	18.2939603805542
0.653079365079365	0.996341463414634	0.01	0.00365793642185347	0.00558850694504346	0.0152752523165195	18.1102155685425
0.661073015873016	0.996385542168675	0.01	0.00366195120412548	0.00552117553608379	0.0152752523165195	17.9619583129883
0.669066666666667	0.996428571428572	0.01	0.00366606055599316	0.0054554472558764	0.0152752523165195	17.8955543518066
0.677060317460317	0.996470588235294	0.01	0.00367026415977025	0.00539126552347927	0.0152752523165195	17.7688718795776
0.685053968253968	0.996511627906977	0.01	0.00367456169199152	0.0053285763894751	0.0152752523165195	17.6995706558228
0.692247619047619	0.995402298850575	0.0133333333333333	0.00381718277714124	0.00563101090297096	0.0163299316185545	17.5930061340332
